Name,Category,Request Priority,Request Type,Location,User Group,Start Date,End Date,Total Number of Requests,Total Similar Requests
Pipe,Plumbing,High,Repair,Block 23,Other Servers,2022-02-08,2022-02-17,34,31
Hard drive,Computers,Low,Repair,Block 31,Teacher,2022-09-13,2022-09-22,72,54
Socket,Electrical,High,Replacement,Block 11,Admin Staff,2022-01-26,2022-02-01,94,84
Florescent Light bulb,Lighting,Medium,Repair,Block 8,Student,2023-02-02,2023-02-06,56,41
Florescent Light bulb,Lighting,High,Replacement,Block 25,Student,2021-09-18,2021-09-25,70,57
Socket,Electrical,High,Repair,Block 36,Teacher,2022-08-07,2022-08-09,91,64
Bed Frame,Furniture,Low,Replacement,Block 46,Admin Staff,2021-12-13,2021-12-26,64,52
Battery,Computers,High,Repair,Block 11,Admin Staff,2021-03-25,2021-03-28,69,57
Bed Frame,Furniture,High,Replacement,Block 50,Teacher,2021-05-17,2021-05-24,58,56
Locker Cylinder,Furniture,Medium,Repair,Block 27,Student,2019-12-22,2020-01-02,54,45
Socket,Electrical,Low,Replacement,Block 7,Student,2023-10-12,2023-10-27,99,75
Florescent Light bulb,Lighting,Low,Replacement,Block 2,Teacher,2022-05-10,2022-05-17,72,70
Door Cylinder,Doors,Low,Repair,Block 3,Admin Staff,2021-05-04,2021-05-13,28,23
Window Glass,Windows,High,Replacement,Block 46,Student,2020-06-05,2020-06-17,38,25
Bed Chipwood,Furniture,Low,Repair,Block 5,Teacher,2022-04-01,2022-04-14,66,35
Chair,Furniture,High,Repair,Block 40,Admin Staff,2019-02-06,2019-02-09,70,44
RAM,Computers,Medium,Repair,Block 50,Admin Staff,2019-06-07,2019-06-11,62,47
Door Cylinder,Doors,Low,Repair,Block 50,Student,2021-11-18,2021-11-30,22,20
Chair,Furniture,Medium,Repair,Block 48,Teacher,2020-07-10,2020-07-15,72,39
Door Handle,Doors,Medium,Repair,Block 48,Admin Staff,2022-08-16,2022-08-21,24,13
Door Cylinder,Doors,High,Replacement,Block 39,Student,2019-03-18,2019-03-30,16,9
Door Cylinder,Doors,High,Replacement,Block 3,Admin Staff,2019-06-24,2019-06-30,15,11
Door Handle,Doors,Medium,Repair,Block 2,Teacher,2023-12-10,2023-12-15,20,15
Shower Head,Plumbing,Low,Repair,Block 35,Other Servers,2023-09-22,2023-10-03,29,17
Bed Chipwood,Furniture,Low,Replacement,Block 13,Teacher,2020-04-10,2020-04-24,68,57
Bed Mattress,Furniture,Low,Replacement,Block 3,Admin Staff,2020-10-28,2020-11-15,63,47
Fuse,Electrical,Low,Replacement,Block 45,Student,2020-11-02,2020-11-12,86,78
Mouse,Computers,High,Repair,Block 17,Teacher,2019-01-20,2019-01-20,69,55
Window Lock,Windows,Medium,Replacement,Block 5,Student,2023-05-25,2023-06-07,40,39
Fuse,Electrical,High,Repair,Block 1,Teacher,2022-01-29,2022-01-30,86,57
Window Lock,Windows,Medium,Replacement,Block 22,Admin Staff,2019-11-05,2019-11-13,53,45
Chair,Furniture,High,Replacement,Block 30,Student,2021-03-08,2021-03-16,63,63
Pipe,Plumbing,Medium,Repair,Block 45,Other Servers,2022-12-05,2022-12-15,27,24
Valve,Plumbing,Medium,Repair,Block 11,Other Servers,2022-10-18,2022-10-29,34,27
Socket,Electrical,High,Repair,Block 50,Teacher,2019-04-16,2019-04-18,82,58
Toilet seat,Plumbing,Low,Repair,Block 19,Other Servers,2023-08-02,2023-08-12,31,30
Door Cylinder,Doors,High,Repair,Block 44,Teacher,2021-12-18,2021-12-23,19,12
Monitor,Computers,Medium,Repair,Block 11,Teacher,2020-02-07,2020-02-12,67,49
RAM,Computers,Medium,Repair,Block 35,Teacher,2022-09-11,2022-09-15,69,50
Fuse,Electrical,High,Repair,Block 1,Admin Staff,2019-06-27,2019-06-29,97,65
Socket,Electrical,High,Replacement,Block 36,Admin Staff,2022-07-31,2022-08-06,85,74
Bed Frame,Furniture,High,Repair,Block 29,Teacher,2019-06-19,2019-06-24,68,42
Fuse,Electrical,High,Replacement,Block 26,Teacher,2019-02-26,2019-03-03,84,58
Locker Handle,Furniture,Medium,Replacement,Block 13,Admin Staff,2023-02-12,2023-02-20,66,46
Locker Handle,Furniture,Low,Repair,Block 49,Student,2020-01-31,2020-02-10,72,54
Florescent Light bulb,Lighting,Low,Replacement,Block 22,Teacher,2022-12-15,2022-12-21,70,66
Fuse,Electrical,High,Repair,Block 21,Student,2023-06-23,2023-06-29,94,90
Toilet seat,Plumbing,High,Repair,Block 50,Other Servers,2023-03-28,2023-04-04,39,27
Locker Handle,Furniture,High,Repair,Block 12,Teacher,2023-01-21,2023-01-26,69,43
Florescent Light bulb,Lighting,Medium,Replacement,Block 14,Teacher,2019-01-08,2019-01-13,61,43
Florescent Light bulb,Lighting,Low,Replacement,Block 6,Admin Staff,2021-05-16,2021-05-25,60,46
Door Cylinder,Doors,Low,Repair,Block 48,Admin Staff,2022-09-27,2022-10-04,25,15
Window Glass,Windows,Low,Repair,Block 46,Teacher,2021-11-08,2021-11-16,38,33
Socket,Electrical,Medium,Repair,Block 42,Admin Staff,2022-04-28,2022-05-02,100,83
Locker Handle,Furniture,High,Repair,Block 28,Student,2020-12-04,2020-12-12,63,39
Florescent Light bulb,Lighting,Medium,Repair,Block 4,Student,2020-11-06,2020-11-10,74,45
Florescent Light bulb,Lighting,High,Repair,Block 30,Teacher,2020-05-26,2020-05-27,55,38
Toilet seat,Plumbing,High,Replacement,Block 14,Other Servers,2019-09-18,2019-09-29,24,15
Chair,Furniture,Low,Repair,Block 4,Teacher,2021-07-18,2021-07-27,68,66
Window Glass,Windows,Low,Repair,Block 6,Student,2021-11-12,2021-11-23,49,40
Florescent Light bulb,Lighting,High,Repair,Block 17,Teacher,2023-10-03,2023-10-04,63,62
Keyboard,Computers,High,Repair,Block 12,Teacher,2022-10-27,2022-10-29,54,53
Bed Frame,Furniture,Medium,Replacement,Block 17,Teacher,2020-04-26,2020-05-07,69,46
Toilet seat,Plumbing,Low,Replacement,Block 16,Other Servers,2022-04-30,2022-05-15,29,26
Florescent Light bulb,Lighting,High,Replacement,Block 48,Student,2019-07-18,2019-07-27,58,45
Florescent Light bulb,Lighting,High,Replacement,Block 43,Admin Staff,2019-01-01,2019-01-05,70,65
Florescent Light bulb,Lighting,High,Repair,Block 34,Admin Staff,2021-03-14,2021-03-14,59,49
Window Lock,Windows,Low,Repair,Block 49,Student,2021-06-07,2021-06-17,54,28
Window Glass,Windows,Medium,Repair,Block 2,Student,2019-05-25,2019-06-04,52,30
Door Handle,Doors,Medium,Repair,Block 18,Teacher,2019-02-23,2019-02-28,15,10
Bed Chipwood,Furniture,Low,Replacement,Block 2,Teacher,2022-12-18,2023-01-02,68,50
Socket,Electrical,Low,Replacement,Block 4,Admin Staff,2019-12-30,2020-01-09,97,80
Toilet seat,Plumbing,Low,Replacement,Block 41,Other Servers,2020-10-27,2020-11-11,42,41
Florescent Light bulb,Lighting,Medium,Replacement,Block 30,Student,2023-03-20,2023-03-29,61,42
Bed Mattress,Furniture,Low,Replacement,Block 21,Admin Staff,2021-02-18,2021-03-06,58,37
Bed Chipwood,Furniture,High,Replacement,Block 28,Student,2022-07-11,2022-07-24,60,35
Shower Head,Plumbing,High,Replacement,Block 46,Other Servers,2020-05-03,2020-05-13,34,20
Bed Mattress,Furniture,Medium,Replacement,Block 32,Student,2021-03-27,2021-04-14,70,46
Shower Head,Plumbing,Medium,Replacement,Block 46,Other Servers,2020-04-30,2020-05-10,35,35
Window Lock,Windows,Medium,Replacement,Block 32,Teacher,2021-01-19,2021-01-26,40,35
Mouse,Computers,Medium,Repair,Block 38,Teacher,2022-10-15,2022-10-17,61,41
Door Cylinder,Doors,High,Repair,Block 17,Teacher,2023-02-24,2023-03-01,21,12
Socket,Electrical,Medium,Replacement,Block 23,Student,2020-06-26,2020-07-05,94,66
Pipe,Plumbing,Low,Repair,Block 2,Other Servers,2019-08-08,2019-08-19,32,23
Window Lock,Windows,High,Replacement,Block 11,Teacher,2023-05-17,2023-05-23,39,29
Door Handle,Doors,Medium,Replacement,Block 24,Teacher,2019-09-07,2019-09-16,18,13
Door Handle,Doors,Medium,Repair,Block 36,Teacher,2020-06-07,2020-06-12,11,11
Toilet seat,Plumbing,Medium,Replacement,Block 29,Other Servers,2023-09-01,2023-09-14,25,15
Shower Head,Plumbing,Medium,Replacement,Block 11,Other Servers,2019-12-11,2019-12-21,37,32
Florescent Light bulb,Lighting,Medium,Repair,Block 10,Admin Staff,2023-01-10,2023-01-12,61,55
Florescent Light bulb,Lighting,Low,Replacement,Block 45,Teacher,2021-01-25,2021-02-02,66,60
Socket,Electrical,Low,Repair,Block 12,Teacher,2020-10-19,2020-10-26,96,57
Pipe,Plumbing,Low,Replacement,Block 17,Other Servers,2020-12-05,2020-12-19,35,30
Monitor,Computers,Medium,Repair,Block 33,Teacher,2021-06-28,2021-07-03,56,35
Shower Head,Plumbing,Low,Repair,Block 22,Other Servers,2020-09-12,2020-09-21,25,15
Fuse,Electrical,Medium,Repair,Block 29,Admin Staff,2021-11-07,2021-11-10,96,89
Fuse,Electrical,High,Repair,Block 40,Admin Staff,2019-12-04,2019-12-06,89,71
Window Glass,Windows,High,Repair,Block 32,Teacher,2019-09-26,2019-10-02,49,38
Shower Head,Plumbing,Medium,Replacement,Block 42,Other Servers,2019-04-11,2019-04-22,40,22
Keyboard,Computers,Medium,Repair,Block 38,Admin Staff,2023-04-17,2023-04-20,59,43
Window Glass,Windows,Low,Repair,Block 37,Admin Staff,2022-11-06,2022-11-15,45,38
Window Lock,Windows,Medium,Repair,Block 47,Admin Staff,2021-05-24,2021-05-29,46,27
Toilet seat,Plumbing,High,Replacement,Block 45,Other Servers,2019-07-12,2019-07-21,36,26
Door Cylinder,Doors,Low,Replacement,Block 41,Teacher,2023-01-09,2023-01-20,15,13
Mouse,Computers,Medium,Replacement,Block 9,Teacher,2021-08-06,2021-08-11,64,37
Fuse,Electrical,High,Repair,Block 39,Student,2020-05-26,2020-05-30,88,85
Bed Mattress,Furniture,Medium,Replacement,Block 32,Admin Staff,2023-12-24,2024-01-07,70,41
RAM,Computers,Medium,Replacement,Block 3,Teacher,2021-04-20,2021-04-26,53,53
Valve,Plumbing,High,Replacement,Block 18,Other Servers,2022-07-04,2022-07-17,41,39
Locker Cylinder,Furniture,Low,Repair,Block 30,Student,2020-10-19,2020-11-02,54,54
Florescent Light bulb,Lighting,High,Replacement,Block 16,Teacher,2023-04-24,2023-04-28,68,47
Bed Mattress,Furniture,Low,Repair,Block 32,Student,2022-01-18,2022-02-03,71,68
Valve,Plumbing,Medium,Replacement,Block 14,Other Servers,2023-04-15,2023-04-30,27,17
Socket,Electrical,High,Repair,Block 27,Admin Staff,2019-10-23,2019-10-25,93,53
Window Glass,Windows,Medium,Replacement,Block 13,Student,2021-12-21,2022-01-03,46,28
Door Cylinder,Doors,Low,Repair,Block 32,Student,2020-12-11,2020-12-25,14,11
Chair,Furniture,High,Replacement,Block 2,Student,2020-01-15,2020-01-24,57,46
Florescent Light bulb,Lighting,Low,Repair,Block 29,Teacher,2022-09-29,2022-10-04,64,36
Window Lock,Windows,Low,Repair,Block 9,Teacher,2022-02-20,2022-02-28,50,35
Keyboard,Computers,High,Replacement,Block 1,Teacher,2019-07-11,2019-07-15,59,56
Florescent Light bulb,Lighting,Low,Replacement,Block 36,Student,2022-08-10,2022-08-20,74,39
Florescent Light bulb,Lighting,Medium,Replacement,Block 5,Student,2019-03-21,2019-03-29,69,64
Valve,Plumbing,High,Replacement,Block 6,Other Servers,2023-06-12,2023-06-25,41,27
Toilet seat,Plumbing,Low,Replacement,Block 34,Other Servers,2023-11-25,2023-12-11,39,33
Door Cylinder,Doors,Medium,Replacement,Block 30,Teacher,2022-10-02,2022-10-12,23,21
Florescent Light bulb,Lighting,High,Repair,Block 25,Admin Staff,2023-06-05,2023-06-06,55,51
RAM,Computers,Medium,Replacement,Block 29,Admin Staff,2020-11-26,2020-12-03,61,53
Window Glass,Windows,High,Repair,Block 39,Teacher,2019-01-15,2019-01-21,43,36
Florescent Light bulb,Lighting,Medium,Repair,Block 44,Admin Staff,2022-06-01,2022-06-03,63,46
Valve,Plumbing,Low,Repair,Block 26,Other Servers,2023-07-22,2023-08-05,33,23
Window Lock,Windows,Low,Repair,Block 9,Admin Staff,2023-11-03,2023-11-12,47,30
Keyboard,Computers,Medium,Replacement,Block 25,Teacher,2020-01-03,2020-01-09,67,37
Window Lock,Windows,High,Repair,Block 43,Admin Staff,2019-02-03,2019-02-07,41,22
Shower Head,Plumbing,Medium,Replacement,Block 45,Other Servers,2021-12-13,2021-12-24,30,23
RAM,Computers,High,Repair,Block 4,Teacher,2023-09-12,2023-09-15,58,45
Florescent Light bulb,Lighting,Medium,Replacement,Block 23,Admin Staff,2023-04-27,2023-05-03,69,56
Battery,Computers,High,Repair,Block 19,Teacher,2022-06-23,2022-06-25,62,51
Hard drive,Computers,Medium,Repair,Block 4,Admin Staff,2020-03-09,2020-03-14,71,37
Bed Mattress,Furniture,Medium,Replacement,Block 4,Student,2023-01-25,2023-02-10,67,65
Door Handle,Doors,High,Replacement,Block 37,Teacher,2023-03-01,2023-03-08,15,14
Fuse,Electrical,Low,Repair,Block 29,Teacher,2023-06-23,2023-06-28,89,46
Bed Chipwood,Furniture,High,Repair,Block 18,Admin Staff,2020-01-31,2020-02-09,58,42
Bed Mattress,Furniture,Medium,Replacement,Block 14,Teacher,2020-01-07,2020-01-21,67,39
Window Lock,Windows,Low,Repair,Block 27,Teacher,2022-06-26,2022-07-05,50,49
Pipe,Plumbing,Low,Replacement,Block 24,Other Servers,2021-06-06,2021-06-19,39,33
Locker Handle,Furniture,Medium,Replacement,Block 45,Student,2022-06-25,2022-07-06,69,67
Keyboard,Computers,Low,Replacement,Block 18,Admin Staff,2020-02-12,2020-02-22,57,40
Window Lock,Windows,Low,Replacement,Block 17,Teacher,2020-02-23,2020-03-05,52,49
Door Cylinder,Doors,High,Repair,Block 24,Admin Staff,2019-08-27,2019-08-31,23,17
Window Lock,Windows,High,Replacement,Block 18,Student,2021-03-08,2021-03-15,50,45
Pipe,Plumbing,Low,Repair,Block 17,Other Servers,2020-12-12,2020-12-23,38,31
Socket,Electrical,Low,Repair,Block 24,Student,2020-04-10,2020-04-18,93,66
Door Cylinder,Doors,High,Replacement,Block 32,Teacher,2021-06-20,2021-06-28,21,18
Window Glass,Windows,Low,Repair,Block 19,Admin Staff,2023-07-14,2023-07-22,41,32
Socket,Electrical,High,Replacement,Block 1,Admin Staff,2022-01-17,2022-01-23,100,87
Valve,Plumbing,Low,Repair,Block 11,Other Servers,2019-11-07,2019-11-22,24,21
Florescent Light bulb,Lighting,Medium,Repair,Block 42,Teacher,2023-12-24,2023-12-26,71,44
Window Lock,Windows,High,Repair,Block 2,Student,2019-11-24,2019-11-30,37,22
Door Handle,Doors,Low,Replacement,Block 34,Teacher,2023-06-12,2023-06-23,21,20
Florescent Light bulb,Lighting,High,Replacement,Block 28,Teacher,2019-11-06,2019-11-10,66,42
Florescent Light bulb,Lighting,Low,Repair,Block 25,Student,2019-06-27,2019-07-06,68,48
Toilet seat,Plumbing,Low,Replacement,Block 40,Other Servers,2020-12-10,2020-12-24,41,27
Socket,Electrical,Low,Repair,Block 4,Admin Staff,2019-01-18,2019-01-26,97,88
Shower Head,Plumbing,High,Repair,Block 17,Other Servers,2019-01-04,2019-01-10,30,27
Window Lock,Windows,Medium,Repair,Block 32,Student,2021-07-05,2021-07-12,51,40
Keyboard,Computers,High,Replacement,Block 22,Teacher,2019-11-19,2019-11-23,57,36
Door Handle,Doors,Low,Replacement,Block 36,Teacher,2020-04-18,2020-04-30,28,17
RAM,Computers,Medium,Replacement,Block 18,Teacher,2023-09-02,2023-09-09,63,34
Florescent Light bulb,Lighting,Low,Repair,Block 2,Student,2022-12-16,2022-12-24,74,66
Door Cylinder,Doors,Medium,Replacement,Block 24,Admin Staff,2020-03-31,2020-04-10,29,16
Chair,Furniture,High,Repair,Block 25,Student,2021-08-23,2021-08-29,70,44
Locker Handle,Furniture,Medium,Replacement,Block 15,Teacher,2022-07-21,2022-07-30,59,46
Monitor,Computers,High,Replacement,Block 14,Admin Staff,2021-02-25,2021-03-04,54,28
RAM,Computers,Medium,Repair,Block 19,Teacher,2020-06-23,2020-06-27,62,54
Door Handle,Doors,Medium,Repair,Block 30,Teacher,2023-04-01,2023-04-06,20,20
Door Cylinder,Doors,Low,Replacement,Block 30,Teacher,2019-01-02,2019-01-15,12,10
Monitor,Computers,High,Replacement,Block 48,Admin Staff,2022-12-05,2022-12-11,63,49
Door Cylinder,Doors,High,Replacement,Block 48,Student,2023-05-14,2023-05-24,24,24
Chair,Furniture,High,Repair,Block 37,Admin Staff,2022-10-10,2022-10-14,67,60
Florescent Light bulb,Lighting,Medium,Repair,Block 23,Student,2020-06-10,2020-06-16,71,66
Pipe,Plumbing,Medium,Replacement,Block 46,Other Servers,2019-10-24,2019-11-07,41,34
Fuse,Electrical,High,Repair,Block 37,Teacher,2022-07-05,2022-07-06,100,75
Bed Mattress,Furniture,Medium,Repair,Block 43,Student,2019-02-08,2019-02-22,54,48
Socket,Electrical,High,Repair,Block 27,Admin Staff,2023-02-16,2023-02-18,99,89
Window Glass,Windows,Medium,Repair,Block 29,Admin Staff,2023-11-19,2023-11-26,45,41
Florescent Light bulb,Lighting,Medium,Replacement,Block 34,Teacher,2023-09-12,2023-09-17,71,57
Fuse,Electrical,Low,Repair,Block 8,Student,2021-05-29,2021-06-06,92,92
Locker Handle,Furniture,High,Repair,Block 34,Teacher,2020-11-21,2020-11-26,63,56
Hard drive,Computers,Low,Repair,Block 27,Teacher,2019-12-13,2019-12-22,71,56
Bed Mattress,Furniture,High,Replacement,Block 40,Student,2019-08-14,2019-08-30,72,53
Toilet seat,Plumbing,Medium,Replacement,Block 41,Other Servers,2021-08-04,2021-08-15,27,20
Bed Mattress,Furniture,Low,Replacement,Block 1,Admin Staff,2023-12-26,2024-01-14,59,39
Bed Chipwood,Furniture,High,Repair,Block 27,Admin Staff,2019-09-19,2019-09-28,59,52
Monitor,Computers,High,Repair,Block 22,Teacher,2019-11-30,2019-12-03,56,50
Florescent Light bulb,Lighting,Medium,Replacement,Block 22,Student,2021-08-06,2021-08-15,74,43
Keyboard,Computers,High,Repair,Block 15,Admin Staff,2019-09-15,2019-09-17,68,43
Window Lock,Windows,Low,Repair,Block 13,Admin Staff,2021-01-10,2021-01-19,39,27
Chair,Furniture,Medium,Replacement,Block 31,Student,2021-07-27,2021-08-05,64,57
Chair,Furniture,High,Repair,Block 16,Teacher,2023-09-26,2023-09-29,67,50
Bed Chipwood,Furniture,Medium,Repair,Block 15,Teacher,2019-09-06,2019-09-16,55,37
Door Handle,Doors,High,Replacement,Block 3,Student,2021-11-11,2021-11-20,26,26
Florescent Light bulb,Lighting,Medium,Replacement,Block 42,Admin Staff,2022-06-05,2022-06-09,56,39
Door Handle,Doors,High,Replacement,Block 2,Student,2022-06-19,2022-06-29,10,7
Window Lock,Windows,Medium,Repair,Block 13,Student,2023-09-11,2023-09-18,41,26
Florescent Light bulb,Lighting,Medium,Repair,Block 23,Teacher,2020-01-06,2020-01-08,61,46
Fuse,Electrical,Low,Repair,Block 10,Student,2023-01-23,2023-01-30,88,76
Florescent Light bulb,Lighting,Medium,Replacement,Block 12,Teacher,2021-07-20,2021-07-25,66,57
Valve,Plumbing,Medium,Repair,Block 35,Other Servers,2023-05-24,2023-06-04,26,14
Fuse,Electrical,High,Repair,Block 1,Admin Staff,2023-12-03,2023-12-05,93,86
Socket,Electrical,High,Repair,Block 48,Admin Staff,2022-05-07,2022-05-09,94,50
Fuse,Electrical,High,Repair,Block 19,Admin Staff,2023-03-08,2023-03-10,83,46
Door Cylinder,Doors,Low,Replacement,Block 40,Teacher,2019-06-04,2019-06-14,21,13
Fuse,Electrical,Medium,Repair,Block 17,Student,2020-02-04,2020-02-09,82,66
Door Cylinder,Doors,Low,Repair,Block 49,Admin Staff,2020-07-25,2020-08-04,24,13
Keyboard,Computers,Medium,Replacement,Block 44,Teacher,2022-12-26,2023-01-02,72,46
Window Lock,Windows,Medium,Repair,Block 9,Teacher,2021-02-28,2021-03-05,43,41
Bed Frame,Furniture,Medium,Repair,Block 9,Admin Staff,2020-12-09,2020-12-16,67,57
Bed Mattress,Furniture,High,Repair,Block 13,Student,2023-02-27,2023-03-12,65,48
Window Lock,Windows,High,Replacement,Block 30,Teacher,2023-05-18,2023-05-25,53,49
Fuse,Electrical,Medium,Replacement,Block 46,Teacher,2022-10-30,2022-11-05,84,53
Keyboard,Computers,High,Repair,Block 42,Teacher,2020-01-13,2020-01-15,66,65
Door Cylinder,Doors,Medium,Replacement,Block 44,Teacher,2019-09-13,2019-09-21,29,22
Window Lock,Windows,Low,Replacement,Block 3,Student,2023-06-08,2023-06-22,40,33
Keyboard,Computers,Low,Replacement,Block 50,Admin Staff,2023-07-17,2023-07-25,56,47
Florescent Light bulb,Lighting,High,Repair,Block 11,Student,2021-11-14,2021-11-18,58,45
Bed Mattress,Furniture,High,Repair,Block 43,Admin Staff,2021-08-18,2021-08-29,70,43
Bed Chipwood,Furniture,High,Repair,Block 15,Admin Staff,2020-01-14,2020-01-22,66,37
Toilet seat,Plumbing,Medium,Repair,Block 9,Other Servers,2021-02-20,2021-03-01,28,27
Door Cylinder,Doors,High,Replacement,Block 16,Student,2022-01-12,2022-01-21,26,18
Bed Mattress,Furniture,High,Replacement,Block 26,Teacher,2022-11-27,2022-12-10,55,30
Florescent Light bulb,Lighting,Medium,Replacement,Block 46,Teacher,2021-06-04,2021-06-09,67,43
Florescent Light bulb,Lighting,Low,Repair,Block 38,Teacher,2020-03-08,2020-03-13,58,48
Door Handle,Doors,Low,Repair,Block 36,Student,2020-09-03,2020-09-13,11,9
Locker Handle,Furniture,Medium,Replacement,Block 35,Teacher,2023-08-31,2023-09-09,57,47
Florescent Light bulb,Lighting,Low,Replacement,Block 7,Admin Staff,2021-08-24,2021-09-01,64,34
Socket,Electrical,Low,Repair,Block 38,Teacher,2019-04-05,2019-04-11,90,78
Shower Head,Plumbing,Low,Repair,Block 24,Other Servers,2019-12-19,2019-12-30,26,22
CPU,Computers,Low,Repair,Block 41,Admin Staff,2020-09-21,2020-10-01,65,64
Battery,Computers,Medium,Replacement,Block 43,Admin Staff,2022-11-27,2022-12-03,55,47
Fuse,Electrical,High,Replacement,Block 31,Student,2021-09-28,2021-10-06,82,61
Florescent Light bulb,Lighting,Low,Repair,Block 4,Student,2019-09-13,2019-09-20,70,63
Florescent Light bulb,Lighting,Medium,Repair,Block 41,Admin Staff,2023-10-18,2023-10-20,67,42
Shower Head,Plumbing,High,Repair,Block 49,Other Servers,2019-12-18,2019-12-24,29,25
Door Handle,Doors,Medium,Repair,Block 46,Student,2023-03-03,2023-03-10,11,11
Door Handle,Doors,Medium,Replacement,Block 22,Student,2019-12-26,2020-01-08,26,20
Florescent Light bulb,Lighting,Low,Replacement,Block 42,Admin Staff,2022-07-27,2022-08-04,71,57
Fuse,Electrical,High,Repair,Block 43,Admin Staff,2023-10-25,2023-10-27,88,49
Bed Frame,Furniture,Medium,Repair,Block 5,Admin Staff,2019-12-29,2020-01-05,67,43
Florescent Light bulb,Lighting,High,Replacement,Block 19,Teacher,2023-11-28,2023-12-02,72,71
Florescent Light bulb,Lighting,Medium,Repair,Block 3,Admin Staff,2021-05-07,2021-05-09,63,36
Window Glass,Windows,Low,Repair,Block 19,Teacher,2023-02-18,2023-02-27,47,26
Battery,Computers,Low,Replacement,Block 24,Teacher,2020-02-04,2020-02-14,55,31
Window Lock,Windows,High,Replacement,Block 1,Teacher,2020-07-08,2020-07-15,48,30
Socket,Electrical,Low,Replacement,Block 38,Teacher,2019-08-13,2019-08-23,94,50
Florescent Light bulb,Lighting,Low,Repair,Block 31,Teacher,2021-05-25,2021-05-28,74,38
Valve,Plumbing,High,Replacement,Block 38,Other Servers,2021-09-21,2021-10-03,31,21
Hard drive,Computers,Low,Repair,Block 12,Teacher,2019-07-27,2019-08-03,55,30
Bed Mattress,Furniture,Low,Repair,Block 18,Admin Staff,2020-01-04,2020-01-18,55,35
Florescent Light bulb,Lighting,Low,Repair,Block 20,Admin Staff,2022-03-24,2022-03-30,70,58
Socket,Electrical,High,Repair,Block 41,Teacher,2023-11-01,2023-11-03,99,77
Window Lock,Windows,Medium,Repair,Block 9,Student,2022-01-21,2022-01-28,49,49
Fuse,Electrical,Low,Replacement,Block 40,Admin Staff,2019-06-03,2019-06-11,83,75
Monitor,Computers,Medium,Replacement,Block 37,Teacher,2020-12-08,2020-12-15,62,37
Window Glass,Windows,Low,Replacement,Block 5,Student,2022-11-01,2022-11-15,50,37
Socket,Electrical,High,Repair,Block 13,Admin Staff,2022-11-07,2022-11-10,86,45
Fuse,Electrical,Low,Repair,Block 14,Teacher,2019-02-08,2019-02-15,100,97
Window Glass,Windows,Medium,Repair,Block 8,Teacher,2020-10-28,2020-11-04,37,25
Window Lock,Windows,High,Repair,Block 38,Student,2021-08-31,2021-09-05,42,28
Pipe,Plumbing,High,Repair,Block 47,Other Servers,2020-08-23,2020-09-01,35,26
Florescent Light bulb,Lighting,Low,Repair,Block 32,Teacher,2020-09-18,2020-09-21,59,57
Mouse,Computers,Medium,Replacement,Block 8,Teacher,2019-11-21,2019-11-26,59,50
Window Glass,Windows,High,Replacement,Block 35,Admin Staff,2021-12-17,2021-12-27,53,33
Florescent Light bulb,Lighting,Medium,Replacement,Block 16,Student,2021-04-11,2021-04-18,64,49
Valve,Plumbing,High,Repair,Block 26,Other Servers,2023-10-11,2023-10-20,41,26
Fuse,Electrical,Medium,Replacement,Block 19,Student,2021-10-22,2021-11-02,97,85
Chair,Furniture,Low,Replacement,Block 22,Admin Staff,2021-02-08,2021-02-19,69,36
RAM,Computers,Medium,Replacement,Block 48,Teacher,2019-04-16,2019-04-24,58,55
Window Lock,Windows,High,Replacement,Block 48,Admin Staff,2020-12-15,2020-12-20,37,29
Bed Chipwood,Furniture,Low,Repair,Block 33,Student,2020-10-30,2020-11-16,62,43
Door Handle,Doors,Medium,Repair,Block 20,Student,2021-03-31,2021-04-07,12,7
Door Cylinder,Doors,Medium,Replacement,Block 28,Admin Staff,2019-12-28,2020-01-05,12,8
Florescent Light bulb,Lighting,Medium,Replacement,Block 20,Student,2022-07-02,2022-07-09,58,54
Mouse,Computers,Low,Replacement,Block 18,Admin Staff,2020-05-23,2020-05-30,66,66
Door Cylinder,Doors,Medium,Repair,Block 8,Student,2021-10-15,2021-10-24,12,11
Window Glass,Windows,Low,Repair,Block 7,Student,2019-09-08,2019-09-22,39,27
Valve,Plumbing,Medium,Repair,Block 45,Other Servers,2019-06-24,2019-07-05,26,18
Bed Frame,Furniture,Medium,Replacement,Block 25,Admin Staff,2020-10-30,2020-11-08,70,40
Florescent Light bulb,Lighting,Medium,Repair,Block 27,Teacher,2021-11-25,2021-11-27,70,63
Bed Mattress,Furniture,High,Repair,Block 37,Admin Staff,2021-05-23,2021-06-03,71,48
Bed Frame,Furniture,High,Repair,Block 5,Student,2019-07-09,2019-07-18,73,47
Locker Cylinder,Furniture,Low,Repair,Block 25,Teacher,2022-05-24,2022-06-03,61,57
Toilet seat,Plumbing,Medium,Replacement,Block 44,Other Servers,2021-04-15,2021-04-27,41,41
Shower Head,Plumbing,High,Replacement,Block 49,Other Servers,2022-03-18,2022-03-28,35,35
Bed Frame,Furniture,Low,Replacement,Block 13,Admin Staff,2020-06-25,2020-07-06,62,33
Florescent Light bulb,Lighting,Medium,Replacement,Block 36,Teacher,2022-07-01,2022-07-05,71,41
Door Handle,Doors,Low,Repair,Block 47,Teacher,2021-01-01,2021-01-08,21,13
